geography,CCAA,wave,period,age_group_scheme,ego_age_group,alter_age_group,ego_population_size,ego_sample_size_LFS,ego_sample_size_DCS,reciprocity,cores_LFS,cores_DCS,noncores_DCS,all_LFS_DCS,all_DCS_DCS
ccaa,Andalucía,3,"[2020-12-14, 2021-01-10]",10y10y,40-49,10-19,1377730.78,23025,1029,unweighted,0.7091512465156655,0.353483218583332,0.4950662810692272,1.2042175275848928,0.8485494996525591
ccaa,Andalucía,3,"[2020-12-14, 2021-01-10]",10y10y,40-49,10-19,1377730.78,23025,1029,weighted,0.7072299171734489,0.4378567122638982,0.332463103325574,1.039693020499023,0.7703198155894722
ccaa,Aragón,3,"[2020-12-14, 2021-01-10]",10y10y,40-49,10-19,212442.7,23025,1029,none,0.617900497404712,0.44775092360379315,0.34147080131901975,0.9593712987237317,0.7892217249228128
ccaa,Aragón,3,"[2020-12-14, 2021-01-10]",10y10y,40-49,10-19,212442.7,23025,1029,unweighted,0.6081539633981303,0.342922762012204,0.4836091759713176,1.0917631393694478,0.8265319379835216
ccaa,Aragón,3,"[2020-12-14, 2021-01-10]",10y10y,40-49,10-19,212442.7,23025,1029,weighted,0.6100041503434926,0.4427780506630157,0.34821360846571325,0.9582177588092059,0.7909916591287289
ccaa,"Asturias, Principado de",3,"[2020-12-14, 2021-01-10]",10y10y,40-49,10-19,165491.2,23025,1029,none,0.4871900741550003,0.4363048884783469,0.34192351405823473,0.829113588213235,0.7782284025365817
ccaa,"Asturias, Principado de",3,"[2020-12-14, 2021-01-10]",10y10y,40-49,10-19,165491.2,23025,1029,unweighted,0.49070844854590445,0.30880844510185157,0.4063373821750875,0.897045830720992,0.7151458272769391
ccaa,"Asturias, Principado de",3,"[2020-12-14, 2021-01-10]",10y10y,40-49,10-19,165491.2,23025,1029,weighted,0.4900405546707534,0.4302566701018528,0.34497920040153895,0.8350197550722924,0.7752358705033917
ccaa,"Balears, Illes",3,"[2020-12-14, 2021-01-10]",10y10y,40-49,10-19,216172.14,23025,1029,none,0.5778825615548793,0.4296144036909511,0.33604006234811284,0.9139226239029921,0.765654466039064
ccaa,"Balears, Illes",3,"[2020-12-14, 2021-01-10]",10y10y,40-49,10-19,216172.14,23025,1029,unweighted,0.6011974068443787,0.3192274563030521,0.453419355843153,1.0546167626875318,0.7726468121462051
